ecole_id,username,roles,password,last_name,first_name,telephone,email,is_active
13,rfed,"[""ROLE_USER""]","$argon2id$v=19$m=65536,t=4,p=1$UHRkZGtZNzlPZjBScERDdg$Umc+gG76HngOr4huELr/ukXfnkLQs/Q6/HBPVOYnNn0",fred,fred,04 43 74 88 57,fred2020@ecole-eni.fr,1
14,llie,"[""ROLE_USER""]","$argon2id$v=19$m=65536,t=4,p=1$SUxXM2VsMW9MaDVyVU1maQ$YvcSQukUw+X5w9GYtqeQeoaPrDxshFacPgviBYWjcvc",leslie,leslie,+33 (0)1 09 78 71 26,leslie2020@ecole-eni.fr,1
15,jaent,"[""ROLE_USER""]","$argon2id$v=19$m=65536,t=4,p=1$TVFqZDNrekRUei9YSThUZQ$IhS3/TcSvqZJLCyAZ8ZloYZxJqZuqjR2Sk7V0yuwUlk",janet,janet,+33 (0)6 19 54 97 27,janet2020@ecole-eni.fr,1
16,anedra,"[""ROLE_USER""]","$argon2id$v=19$m=65536,t=4,p=1$a29lN0RKaUtXVTFrbkNnZg$MSPL4rnV0X9GzlWpWVc01saufLhHw+zRUMEhQQGylx0",andrea,andrea,01 22 19 26 30,andrea2020@ecole-eni.fr,1
15,tudbary,"[""ROLE_USER""]","$argon2id$v=19$m=65536,t=4,p=1$djJjMTRwN1dsVW40TXMuVQ$B/w9TBC44DWalpMDzJM8WdvDfivkFoizRU/59kXbcWk",baudry,thierry,539915745,tbaudry2020@ecole-eni.fr,1
14,glerleccq,"[""ROLE_USER""]","$argon2id$v=19$m=65536,t=4,p=1$dU1pZVRqcjdLUlZLOGtLRg$EvApvDkIoly6mqKKizeWJGPClqY114obc4yo0HrEVSo",leclercq,gérard,03 48 97 88 30,gleclercq2020@ecole-eni.fr,1
13,ghugciard,"[""ROLE_USER""]","$argon2id$v=19$m=65536,t=4,p=1$YUsvSnZqVmd1cC5waW1sUQ$Jtu8+v5uauHlsa7Ss7uYj1HoKpyVqdkt4AWUuk3plBA",guichard,guy,06 23 27 27 09,gguichard2020@ecole-eni.fr,1
14,scjpaal,"[""ROLE_USER""]","$argon2id$v=19$m=65536,t=4,p=1$WGdWZVlGbkQ5OS9LVVhjLw$HvGJtWiuFNNr23nrz1WmXCbLFOLsgbgGBQkEpq8xNAM",pascal,joseph,06 56 84 50 74,jpascal2020@ecole-eni.fr,1
15,emary,"[""ROLE_USER""]","$argon2id$v=19$m=65536,t=4,p=1$MlRTOFV4MWFEbmJuckNjRQ$y69jVqJ4zSqPXW3/sRDrSTzFzOil7fneXJjREsVqDxo",remy,andrée,+33 (0)1 83 15 06 04,aremy2020@ecole-eni.fr,1
16,tonlemnier,"[""ROLE_USER""]","$argon2id$v=19$m=65536,t=4,p=1$T2VEVGg5d01zamUwWEZvMQ$ZcV+AnORWawtZG5+0i7Yr3GO5mol2WynseYirsciHAU",lemonnier,thibaut,+33 8 91 08 20 88,tlemonnier2020@ecole-eni.fr,1
15,tnoel,"[""ROLE_USER""]","$argon2id$v=19$m=65536,t=4,p=1$b3ZaM0pVSFllVjMzUk5Lbg$c9Ei3LQPM4D116p/Ps/+rdIUG8O/MEGlJpJTWlOaBSQ",noel,thérèse,07 81 95 70 96,tnoel2020@ecole-eni.fr,1
14,jinelemo,"[""ROLE_USER""]","$argon2id$v=19$m=65536,t=4,p=1$TTR2S3FmODFWRnEuQTVjNA$NY7BcCcj7xqv9Nkx0uS76WyQG/VREtJj4blPzoKMRtY",lemoine,josette,610043697,jlemoine2020@ecole-eni.fr,1
13,dyboer,"[""ROLE_USER""]","$argon2id$v=19$m=65536,t=4,p=1$dk5YdXJGMC9RSzh6NzdSVA$Qlsc1qNK+mueT21nL1Y//38xDMtLNkR/H4/JDp8YDJw",boyer,denise,+33 (0)9 52 82 64 91,dboyer2020@ecole-eni.fr,1
14,aploez,"[""ROLE_USER""]","$argon2id$v=19$m=65536,t=4,p=1$Y2dXVkwubi53MHdVaUpwQw$Ms1ERviWM/Nx96vKl/M4adqttb9rXed22d0VvnGBldI",lopez,aimé,158691814,alopez2020@ecole-eni.fr,1
